"EnumValueId"|"EnumId"|"WebSiteId"|"Code"|"Value"|"Order"|"CreateDate"|"CreatedBy"|"EditDate"|"EditedBy"
"87475c5c-7b04-47c0-b166-000ddb7579b1"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"zdravotnictvo,skolstvo"|"10270"|"4"|"19. 10. 2012 12:47:02"|"system"|"19. 10. 2012 12:47:02"|"system"
"3ca30914-3929-441e-bf68-017df8386b0d"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"31002"|"31002"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"bc977113-c99c-4a21-ae70-02681039072e"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41264"|"41264"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"f974fa96-d453-4bbc-9998-0276f91d95e6"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"47003"|"47003"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"f2bdadac-dc67-472a-95c1-0319003030f8"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6203"|"6203"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"c9817fc0-b78c-4724-b301-032ca732ae39"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"33850"|"33850"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"9f2bccbd-33a3-491e-9d81-039353aa1116"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41219"|"41219"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"02792b1b-c99d-4fb4-9bff-043f222106da"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"31850"|"31850"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"32f6186f-913e-404b-9272-048cc097b7fd"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41003"|"41003"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"429dc6a2-58c2-422f-90f8-04dbc152aa74"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"perspektivnyrozvoj"|"12492"|"2"|"19. 10. 2012 12:46:52"|"system"|"19. 10. 2012 12:46:52"|"system"
"5d69e461-421c-4b6d-b0a0-04f1c28b65ce"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41950"|"41950"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"d4cc19da-44c7-4794-8a87-05499638e1b1"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41249"|"41249"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"5a7948d8-9ac6-45c9-aa20-0574caf61195"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"sucasrozvoplanymesta"|"10558"|"3"|"19. 10. 2012 12:47:12"|"system"|"19. 10. 2012 12:47:12"|"system"
"f01465fc-6c80-40fb-8896-058a7864ad79"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"straze"|"10107"|"0"|"19. 10. 2012 12:47:22"|"system"|"19. 10. 2012 12:47:22"|"system"
"8e3de574-815c-4933-b50b-05c13d901a49"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"11002"|"11002"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"ba9f5c29-e8f2-498f-b3c6-05d274dc885c"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"vzdelkultuasport"|"10953"|"1"|"19. 10. 2012 12:46:31"|"system"|"19. 10. 2012 12:46:31"|"system"
"ba55d9b1-42cf-4ad0-80b3-05d46cc7da6e"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41951"|"41951"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"f40ca1fc-8659-4817-944a-060763204714"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"dubravka"|"9854"|"0"|"19. 10. 2012 12:46:01"|"system"|"19. 10. 2012 12:46:01"|"system"
"6187f247-b6e8-4d7f-a453-06924d9498b6"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6283"|"6283"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"1e61fa64-2252-4cb4-a1e9-06c0dbe371d4"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"48201"|"48201"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"bf8a848c-2e51-4df7-95df-06d8193ca8c8"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"azaujimavosti"|"10242"|"1"|"19. 10. 2012 12:47:00"|"system"|"19. 10. 2012 12:47:00"|"system"
"c9aed487-f622-4bd1-9471-06ea575ad42c"|"074937d4-f65e-4a9d-b1c8-49a3153c6f08"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"Agency"|"2"|"2"|"10. 10. 2012 0:00:00"|"import"|"12. 10. 2012 14:12:49"|"pedro"
"1cf4bbbc-8244-45f8-89c6-06f7224816db"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41226"|"41226"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"b4b86ac5-2c88-47ac-9171-071924eec6b4"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6404"|"6404"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"40175352-e07b-4c71-8834-0744affc7eb6"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"granc-petrovce"|"12203"|"0"|"19. 10. 2012 12:46:41"|"system"|"19. 10. 2012 12:46:41"|"system"
"eb2fa1c0-3e08-4bae-a483-07707cfdef6e"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"polnohospodarstvo"|"10268"|"1"|"19. 10. 2012 12:46:19"|"system"|"19. 10. 2012 12:46:19"|"system"
"5655909e-9b28-4361-889a-07b0b0877161"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"7951"|"7951"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"925c9e4e-eda4-4077-becd-086982469b7d"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41224"|"41224"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"7b7797b0-c305-4938-8161-08bd3a81d977"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6400"|"6400"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"8cf9da3a-a137-4448-97f6-08cf31c42810"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6020"|"6020"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"e0d8403f-f2a7-4663-98cc-08e613f7f875"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41239"|"41239"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"b2df1bea-56be-45f3-a32a-08e7093e1610"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"12600"|"12600"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"e4544fe6-d2fc-4f1c-8c0a-08eed578d54e"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"35600"|"35600"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"9d652aa0-699b-43a1-99c4-08fa6da7cce0"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"21003"|"21003"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"02cce9f7-83b0-4fb0-b355-090f71667acb"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"9402"|"9402"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"48c1f2f5-2f73-4cbf-89eb-0941a29c35ab"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6286"|"6286"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"68666ef1-3f58-4004-8954-0a2815c3d7d9"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"lorincik"|"13193"|"0"|"19. 10. 2012 12:46:09"|"system"|"19. 10. 2012 12:46:09"|"system"
"7e8ee461-ee44-47c5-a104-0a7a38739a0c"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"28002"|"28002"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"3cff7f17-f054-4894-ba3d-0ae70289b4a5"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"stredslobokralomesto"|"9867"|"3"|"19. 10. 2012 12:46:01"|"system"|"19. 10. 2012 12:46:01"|"system"
"54e20b9e-e645-4b50-ab9e-0b0cede25157"|"f673bfdb-e22e-45e8-ac00-a0ed00bc4d37"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"informacie"|"12749"|"2"|"19. 10. 2012 12:46:05"|"system"|"19. 10. 2012 12:46:05"|"system"
"5a961286-204d-43d2-acce-0b570c289537"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"615"|"615"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"56dafc75-01b1-4140-9970-0c0b90d58ed6"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"41271"|"41271"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"6c2dadca-1fcd-4238-9d05-0c200f604c5d"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"6274"|"6274"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"0841109a-eeef-4e0a-bddd-0c764922eeab"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"51201"|"51201"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
"3ceb4e6d-bdc9-48da-90db-0e1c8de92f09"|"1dae44d3-6d7e-4787-aee3-a14600f28b15"|"434e0c03-88d3-41a0-9488-9f3400afba66"|"13203"|"13203"|"1"|"26. 9. 2013 10:16:45"|"import"|"26. 9. 2013 10:16:45"|"import"
