"EnumValueId"|"LanguageId"|"DisplayValue"|"CreateDate"|"CreatedBy"|"EditDate"|"EditedBy"|"IsActive"
"87475c5c-7b04-47c0-b166-000ddb7579b1"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Zdravotníctvo, školstvo"|"19. 10. 2012 12:47:02"|"system"|"19. 10. 2012 12:47:02"|"system"|"True"
"3ca30914-3929-441e-bf68-017df8386b0d"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Nie sú zadané všetky povinné údaje. (Používate¾ nie je vyplnený.)|Zmena hesla neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"3ca30914-3929-441e-bf68-017df8386b0d"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Nie sú zadané všetky povinné údaje. (Používate¾ nie je vyplnený.)|Zmena hesla neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"bc977113-c99c-4a21-ae70-02681039072e"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Kód okresu %s nie je v èíselníku SUSR_0024.|Aktualizácia profilu neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"bc977113-c99c-4a21-ae70-02681039072e"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Kód okresu %s nie je v èíselníku SUSR_0024.|Aktualizácia profilu neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"f974fa96-d453-4bbc-9998-0276f91d95e6"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Nie sú zadané všetky povinné údaje. (Login nie je vyplnený.)|Pri overení loginu voèi bezpeènostnej politike došlo k chybe!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"f974fa96-d453-4bbc-9998-0276f91d95e6"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Nie sú zadané všetky povinné údaje. (Login nie je vyplnený.)|Pri overení loginu voèi bezpeènostnej politike došlo k chybe! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"f2bdadac-dc67-472a-95c1-0319003030f8"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Kontrolná otázka è. %s je dlhšia ako 150 znakov!|Registrácia neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"f2bdadac-dc67-472a-95c1-0319003030f8"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Kontrolná otázka è. %s je dlhšia ako 150 znakov!|Registrácia neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"c9817fc0-b78c-4724-b301-032ca732ae39"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Odobranie roly používate¾ovi nebolo úspešné!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"c9817fc0-b78c-4724-b301-032ca732ae39"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Odobranie roly používate¾ovi nebolo úspešné! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"9f2bccbd-33a3-491e-9d81-039353aa1116"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"SID je dlhšie ako 50 znakov!|Aktualizácia profilu neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"9f2bccbd-33a3-491e-9d81-039353aa1116"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"SID je dlhšie ako 50 znakov!|Aktualizácia profilu neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"02792b1b-c99d-4fb4-9bff-043f222106da"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Zmena hesla neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"02792b1b-c99d-4fb4-9bff-043f222106da"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Zmena hesla neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"32f6186f-913e-404b-9272-048cc097b7fd"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Vstupný parameter IdentityID je prázdny!|Aktualizácia profilu neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"32f6186f-913e-404b-9272-048cc097b7fd"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Vstupný parameter IdentityID je prázdny!|Aktualizácia profilu neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"429dc6a2-58c2-422f-90f8-04dbc152aa74"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Perspektívny rozvoj"|"19. 10. 2012 12:46:52"|"system"|"19. 10. 2012 12:46:52"|"system"|"True"
"5d69e461-421c-4b6d-b0a0-04f1c28b65ce"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Aktualizácia profilu neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"5d69e461-421c-4b6d-b0a0-04f1c28b65ce"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Vyskytla sa vnútorná chyba. Skúste to, prosím, neskôr.|Aktualizácia profilu neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"d4cc19da-44c7-4794-8a87-05499638e1b1"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"EDeskNumber obsahuje nepovolené znaky . # / % = | + , < > ; ' \"" \\|Aktualizácia profilu neprebehla úspešne!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"d4cc19da-44c7-4794-8a87-05499638e1b1"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"EDeskNumber obsahuje nepovolené znaky . # / % = | + , < > ; ' \"" \\|Aktualizácia profilu neprebehla úspešne! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"5a7948d8-9ac6-45c9-aa20-0574caf61195"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Súèasnos, rozvojové plány mesta"|"19. 10. 2012 12:47:12"|"system"|"19. 10. 2012 12:47:12"|"system"|"True"
"f01465fc-6c80-40fb-8896-058a7864ad79"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Stráže"|"19. 10. 2012 12:47:22"|"system"|"19. 10. 2012 12:47:22"|"system"|"True"
"8e3de574-815c-4933-b50b-05c13d901a49"|"8180a719-8685-46a4-a77e-9f3400afbb57"|"Vyplòte, prosím, všetky povinné hodnoty. (Chýba IdentityID.)|Blokácia/Odblokovanie používate¾a nebolo úspešné!"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
"8e3de574-815c-4933-b50b-05c13d901a49"|"c39a8072-afb4-4ca5-b14d-9fa2011f8343"|"Vyplòte, prosím, všetky povinné hodnoty. (Chýba IdentityID.)|Blokácia/Odblokovanie používate¾a nebolo úspešné! - EN"|"26. 9. 2013 10:16:46"|"import"|"26. 9. 2013 10:16:46"|"import"|"True"
